state,district,year,annual_rainfall_mm
Gujarat,Dahod,2020,1022.2
Gujarat,Dahod,2021,921.6
Gujarat,Dahod,2023,856.4
Gujarat,Daman,2019,2738.6
Gujarat,Daman,2020,2615.1
Gujarat,Dang,2021,891.1
Gujarat,Dang,2023,834.3
Gujarat,Dangs-Ahwa,2020,972.6
Gujarat,Devbhoomi Dwarka,2023,846.8
Gujarat,Devbhumi Dwarka,2021,884.0
Gujarat,Devbhumi Dwarka,2023,841.6
Gujarat,Diu,2020,743.7
Gujarat,Dohad,2019,983.6
Gujarat,Dohad,2020,1047.5
Gujarat,Dwarka,2021,876.7
Gujarat,GANDHINAGAR,2022,709.3
Gujarat,GIR SOMNATH,2022,861.1
Gujarat,Gandhinagar,2019,867.9
Gujarat,Gandhinagar,2020,788.6
Gujarat,Gandhinagar,2021,737.6
Gujarat,Gir Somnath,2020,1054.8
Gujarat,Gir Somnath,2021,948.5
Gujarat,Gir Somnath,2023,896.4
Gujarat,JAMNAGAR,2022,456.8
Gujarat,JUNAGADH,2022,754.9
Gujarat,Jamnagar,2019,557.0
Gujarat,Jamnagar,2020,566.1
Gujarat,Jamnagar,2021,495.8
Gujarat,Jamnagar,2023,471.5
Gujarat,Junagadh,2019,893.3
Gujarat,Junagadh,2020,929.5
Gujarat,Junagadh,2021,796.4
Gujarat,Junagadh,2023,766.8
Gujarat,KACHCHH,2022,862.4
Gujarat,KHEDA,2022,799.7
Gujarat,Kachchh,2019,990.6
Gujarat,Kachchh,2020,968.7
Gujarat,Kachchh,2023,878.5
Gujarat,Kheda,2019,915.3
Gujarat,Kheda,2020,934.1
Gujarat,Kheda,2021,812.5
Gujarat,Kheda,2023,797.6
Gujarat,Kutchch,2021,918.1
Gujarat,MAHESANA,2022,829.9
Gujarat,MAHISAGAR,2022,854.7
Gujarat,MORBI,2022,837.1
Gujarat,Mahesana,2019,972.4
Gujarat,Mahesana,2020,1056.9
Gujarat,Mahesana,2023,853.4
Gujarat,Mahisagar,2020,1038.8
Gujarat,Mahisagar,2021,892.6
Gujarat,Mahisagar,2023,884.7
Gujarat,Mata no madh,2020,1033.8
Gujarat,Mehsana,2021,692.3
Gujarat,Morbi,2021,912.5
Gujarat,Morbi,2023,861.2
Gujarat,Morvi,2020,992.3
Gujarat,NARMADA,2022,906.2
Gujarat,NAVSARI,2022,897.6
Gujarat,Narmada,2019,1064.1
Gujarat,Narmada,2020,969.7
Gujarat,Narmada,2021,936.2
Gujarat,Narmada,2023,907.0
Gujarat,Navsari,2019,984.4
Gujarat,Navsari,2020,963.9
Gujarat,Navsari,2021,937.2
Gujarat,Navsari,2023,875.4
Gujarat,PANCH MAHALS,2022,898.6
Gujarat,PATAN,2022,837.6
Gujarat,PORBANDAR,2022,693.5
Gujarat,Panchmahal,2019,986.4
Gujarat,Panchmahal,2021,884.3
Gujarat,Panchmahal,2023,839.7
Gujarat,Panchmahals,2019,1088.4
Gujarat,Panchmahals,2020,1062.9
Gujarat,Patan,2019,1019.1
Gujarat,Patan,2020,993.3
Gujarat,Patan,2021,949.6
Gujarat,Patan,2023,859.5
Gujarat,Porbanadar,2019,1049.0
Gujarat,Porbandar,2020,776.3
Gujarat,Porbandar,2021,700.7
Gujarat,Porbandar,2023,671.1
Gujarat,RAJKOT,2022,533.5
Gujarat,Rajkot,2019,652.8
Gujarat,Rajkot,2020,631.4
Gujarat,Rajkot,2021,558.0
Gujarat,Rajkot,2023,566.1
Gujarat,SABARKANTHA,2022,758.4
Gujarat,SURAT,2022,1231.8
Gujarat,SURENDRA NAGAR,2022,904.2
Gujarat,Sabarkantha,2019,909.1
Gujarat,Sabarkantha,2020,855.7
Gujarat,Sabarkantha,2021,843.7
Gujarat,Sabarkantha,2023,777.1
Gujarat,Surat,2019,1411.5
Gujarat,Surat,2020,1370.8
Gujarat,Surat,2021,1329.6
Gujarat,Surat,2023,1241.1
Gujarat,Surendranagar,2019,590.0
Gujarat,Surendranagar,2020,605.7
Gujarat,Surendranagar,2021,544.5
Gujarat,Surendranagar,2023,485.0
Gujarat,TAPI,2022,852.5
Gujarat,THE DANGS,2022,847.0
Gujarat,Tapi,2021,937.4
Gujarat,Tapi,2023,828.4
Gujarat,The Dangs,2019,1023.9
Gujarat,VADODARA,2022,891.7
Gujarat,VALSAD,2022,1972.0
Gujarat,Vadodara,2019,1000.7
Gujarat,Vadodara,2020,1039.9
Gujarat,Vadodara,2021,879.5
Gujarat,Vadodara,2023,899.0
Gujarat,Vadodara*,2019,978.9
Gujarat,Vadodra,2020,997.2
Gujarat,Valsad,2019,2290.0
Gujarat,Valsad,2020,2126.5
Gujarat,Valsad,2021,1947.3
Gujarat,Valsad,2023,1942.6
Haryana,Ambala,2019,1241.9
Haryana,Ambala,2020,1221.1
Haryana,Ambala,2021,1114.9
Haryana,Ambala,2022,1042.9
Haryana,Ambala,2023,1012.6
Haryana,Bhiwani,2019,454.3
Haryana,Bhiwani,2020,442.7
Haryana,Bhiwani,2021,432.3
Haryana,Bhiwani,2022,397.6
Haryana,Bhiwani,2023,390.4
Haryana,Charkhi Dadri,2023,575.5
Haryana,Faridabad,2019,801.7
Haryana,Faridabad,2020,734.0
Haryana,Faridabad,2021,696.6
Haryana,Faridabad,2022,656.1
Haryana,Faridabad,2023,663.1
Haryana,Fatehabad,2019,381.7
Haryana,Fatehabad,2020,412.2
Haryana,Fatehabad,2021,376.6
Haryana,Fatehabad,2022,345.0
Haryana,Fatehabad,2023,349.5
Haryana,Gurgaon,2021,561.3
Haryana,Gurgaon,2022,522.0
Haryana,Gurugram,2019,652.5
Haryana,Gurugram,2020,675.0
Haryana,Gurugram,2023,583.8
Haryana,Hisar,2019,438.2
Haryana,Hisar,2020,447.9
Haryana,Hisar,2021,414.6
Haryana,Hisar,2022,393.4
Haryana,Hisar,2023,375.5
Haryana,Jhajjar,2019,517.1
Haryana,Jhajjar,2020,558.9
Haryana,Jhajjar,2021,500.5
Haryana,Jhajjar,2022,442.4
Haryana,Jhajjar,2023,479.0
Haryana,Jind,2019,580.7
Haryana,Jind,2020,556.0
Haryana,Jind,2021,508.6
Haryana,Jind,2022,473.7
Haryana,Jind,2023,457.2
Haryana,Kaithal,2019,504.7
Haryana,Kaithal,2020,523.9
Haryana,Kaithal,2021,439.0
Haryana,Kaithal,2022,431.2
Haryana,Kaithal,2023,434.0
Haryana,Karnal,2019,788.8
Haryana,Karnal,2020,811.4
Haryana,Karnal,2021,696.4
Haryana,Karnal,2022,661.3
Haryana,Karnal,2023,687.5
Haryana,Kurukshetra,2019,756.9
Haryana,Kurukshetra,2020,732.9
Haryana,Kurukshetra,2021,681.2
Haryana,Kurukshetra,2022,626.6
Haryana,Kurukshetra,2023,628.9
Haryana,Mahendergarh,2019,675.9
Haryana,Mahendragarh,2020,514.8
Haryana,Mahendragarh,2021,491.0
Haryana,Mahendragarh,2022,441.5
Haryana,Mahendragarh,2023,451.2
Haryana,Mewat,2019,637.5
Haryana,Mewat,2020,593.1
Haryana,Mewat,2021,575.5
Haryana,Mewat,2022,520.4
Haryana,Mewat,2023,562.5
Haryana,Palwal,2019,652.3
Haryana,Palwal,2020,664.1
Haryana,Palwal,2021,583.2
Haryana,Palwal,2022,606.4
Haryana,Palwal,2023,577.8
Haryana,Panchkula,2019,1275.1
Haryana,Panchkula,2020,1197.4
Haryana,Panchkula,2021,1165.1
Haryana,Panchkula,2022,1048.0
Haryana,Panchkula,2023,1122.3
Haryana,Panipat,2019,666.3
Haryana,Panipat,2020,659.2
Haryana,Panipat,2021,589.2
Haryana,Panipat,2022,585.0
Haryana,Panipat,2023,590.5
Haryana,Rewari,2019,517.9
Haryana,Rewari,2020,551.3
Haryana,Rewari,2021,485.0
Haryana,Rewari,2022,463.8
Haryana,Rewari,2023,459.9
Haryana,Rohtak,2019,673.1
Haryana,Rohtak,2020,677.6
Haryana,Rohtak,2021,590.7
Haryana,Rohtak,2022,562.4
Haryana,Rohtak,2023,601.9
Haryana,Sirsa,2019,360.2
Haryana,Sirsa,2020,337.4
Haryana,Sirsa,2021,303.2
Haryana,Sirsa,2022,298.9
Haryana,Sirsa,2023,292.0
Haryana,Sonipat,2019,643.9
Haryana,Sonipat,2020,646.8
Haryana,Sonipat,2021,621.6
Haryana,Sonipat,2022,586.9
Haryana,Sonipat,2023,550.4
Haryana,Y. Nagar,2019,657.2
Haryana,Yamuna Nagar,2021,592.0
Haryana,YamunaNagar,2022,1058.5
Haryana,Yamunanagar,2019,1159.2
Haryana,Yamunanagar,2020,1158.9
Haryana,Yamunanagar,2022,1071.8
Haryana,Yamunanagar,2023,1007.1
Himachal Pradesh,Bilaspur,2021,1235.3
Himachal Pradesh,Bilaspur,2023,1125.0
Himachal Pradesh,CHAMBA,2019,2108.8
Himachal Pradesh,Chamba,2020,2120.9
Himachal Pradesh,Chamba,2021,2021.1
Himachal Pradesh,Chamba,2023,1944.0
Himachal Pradesh,HAMIRPUR,2019,1622.9
Himachal Pradesh,Hamirpur,2020,1540.7
Himachal Pradesh,Hamirpur,2021,1437.7
Himachal Pradesh,Hamirpur,2023,1302.9
Himachal Pradesh,KANGRA,2019,2175.8
Himachal Pradesh,Kangra,2019,2309.8
Himachal Pradesh,Kangra,2020,2094.4
Himachal Pradesh,Kangra,2021,1916.7
Himachal Pradesh,Kangra,2023,1843.2
Himachal Pradesh,Kullu,2019,1140.2
Himachal Pradesh,Kullu,2020,1148.2
Himachal Pradesh,Kullu,2021,1086.2
Himachal Pradesh,Kullu,2023,1014.8
Himachal Pradesh,MANDI,2019,1722.7
Himachal Pradesh,Mandi,2020,1694.7
Himachal Pradesh,Mandi,2021,1468.2
Himachal Pradesh,Mandi,2023,1382.4
Himachal Pradesh,SIRMOUR,2019,1195.4
Himachal Pradesh,Sirmour,2021,1098.8
Himachal Pradesh,Sirmour,2023,1010.0
Himachal Pradesh,Solan,2019,1521.5
Himachal Pradesh,Solan,2021,1340.3
Himachal Pradesh,Solan,2023,1290.9
Himachal Pradesh,UNA,2019,1214.0
Himachal Pradesh,Una,2020,1185.8
Himachal Pradesh,Una,2021,1148.9
Himachal Pradesh,Una,2023,1071.6
Jammu & Kashmir,Anantnag,2019,1028.2
Jammu & Kashmir,Anantnag,2022,945.0
Jammu & Kashmir,BADGAM,2021,664.1
Jammu & Kashmir,BARAMULA,2019,1257.7
Jammu & Kashmir,BARAMULA,2021,1121.7
Jammu & Kashmir,Baramula,2021,1080.9
Jammu & Kashmir,Baramulla,2022,1013.3
Jammu & Kashmir,Baramulla,2023,1039.5
Jammu & Kashmir,Budgam,2019,1215.0
Jammu & Kashmir,Handwara,2022,1047.8
Jammu & Kashmir,Handwara,2023,1009.0
Jammu & Kashmir,JAMMU,2019,1284.4
Jammu & Kashmir,JAMMU,2020,1364.5
Jammu & Kashmir,JAMMU,2021,1257.3
Jammu & Kashmir,Jammu,2021,1202.3
Jammu & Kashmir,Jammu,2022,1101.2
Jammu & Kashmir,Jammu,2023,1112.7
Jammu & Kashmir,KATHUA,2019,1327.8
Jammu & Kashmir,KATHUA,2020,1439.6
Jammu & Kashmir,KATHUA,2021,1207.5
Jammu & Kashmir,KATHUA,2022,1201.2
Jammu & Kashmir,KUPWARA,2019,1217.8
Jammu & Kashmir,KUPWARA,2021,1127.4
Jammu & Kashmir,Kathua,2019,1416.1
Jammu & Kashmir,Kathua,2021,1296.9
Jammu & Kashmir,Kathua,2023,1157.1
Jammu & Kashmir,Kupwara,2019,1185.0
Jammu & Kashmir,Kupwara,2022,1026.1
Jammu & Kashmir,Kupwara,2023,1107.3
Jammu & Kashmir,Mahreen,2023,1072.7
Jammu & Kashmir,PULWAMA,2019,560.5
Jammu & Kashmir,Pulwama,2021,504.6
Jammu & Kashmir,Pulwama,2022,482.2
Jammu & Kashmir,RAJAURI,2019,1170.7
Jammu & Kashmir,RAJOURI,2020,1086.6
Jammu & Kashmir,REASI,2020,1942.3
Jammu & Kashmir,REASI,2021,1757.8
Jammu & Kashmir,REASI,2022,1691.9
Jammu & Kashmir,Rajouri,2019,1005.2
Jammu & Kashmir,Rajouri,2021,916.0
Jammu & Kashmir,Rajouri,2022,921.2
Jammu & Kashmir,Rajouri,2023,862.2
Jammu & Kashmir,Reasi,2019,1996.5
Jammu & Kashmir,Reasi,2022,1645.7
Jammu & Kashmir,Reasi,2023,1670.0
Jammu & Kashmir,SAMBA,2020,1292.4
Jammu & Kashmir,SAMBA,2021,1181.9
Jammu & Kashmir,SAMBA,2022,1163.6
Jammu & Kashmir,SRINAGAR,2019,725.9
Jammu & Kashmir,SRINAGAR,2021,671.3
Jammu & Kashmir,Samba,2019,1329.2
Jammu & Kashmir,Samba,2021,1218.8
Jammu & Kashmir,Samba,2023,1188.4
Jammu & Kashmir,Srinagar,2022,647.9
Jammu & Kashmir,UDHAMPUR,2019,2109.4
Jammu & Kashmir,UDHAMPUR,2020,2050.7
Jammu & Kashmir,UDHAMPUR,2021,1907.7
Jammu & Kashmir,UDHAMPUR,2022,1873.1
Jammu & Kashmir,Udhampur,2019,2073.9
Jammu & Kashmir,Udhampur,2023,1854.8
Jharkhand,Bokaro,2019,1385.5
Jharkhand,Bokaro,2020,1337.2
Jharkhand,Bokaro,2021,1268.5
Jharkhand,Bokaro,2022,1126.5
Jharkhand,Bokaro,2023,1122.8
Jharkhand,Chatra,2019,1318.5
Jharkhand,Chatra,2023,1101.1
Jharkhand,Deoghar,2019,1302.4
Jharkhand,Deoghar,2022,1085.3
Jharkhand,Deoghar,2023,1064.7
Jharkhand,Dhanbad,2019,1538.3
Jharkhand,Dhanbad,2022,1312.0
Jharkhand,Dhanbad,2023,1298.7
Jharkhand,Dumka,2019,1485.0
Jharkhand,Dumka,2022,1310.3
Jharkhand,Dumka,2023,1280.6
Jharkhand,E. Singhbhum,2019,1375.2
Jharkhand,E. Singhbhum,2020,1480.0
Jharkhand,E. Singhbhum,2022,1180.7
Jharkhand,E. Singhbhum,2023,1280.4
Jharkhand,Garhwa,2019,1139.8
Jharkhand,Garhwa,2022,948.5
Jharkhand,Garhwa,2023,983.4
Jharkhand,Giridih,2019,1429.4
Jharkhand,Giridih,2022,1204.9
Jharkhand,Giridih,2023,1213.6
Jharkhand,Godda,2019,1278.8
Jharkhand,Godda,2022,1096.4
Jharkhand,Godda,2023,1113.3
Jharkhand,Gumla,2019,1524.3
Jharkhand,Gumla,2020,1547.6
Jharkhand,Gumla,2021,1367.9
Jharkhand,Gumla,2022,1401.2
Jharkhand,Gumla,2023,1395.3
Jharkhand,Hazaribag,2021,1129.5
Jharkhand,Hazaribagh,2019,1463.3
Jharkhand,Hazaribagh,2020,1481.2
Jharkhand,Hazaribagh,2022,1186.1
Jharkhand,Hazaribagh,2023,1233.6
Jharkhand,Jamtara,2019,1691.1
Jharkhand,Jamtara,2022,1322.8
Jharkhand,Jamtara,2023,1414.8
Jharkhand,Khunti,2019,1404.7
Jharkhand,Khunti,2020,1481.0
Jharkhand,Khunti,2022,1282.9
Jharkhand,Khunti,2023,1279.7
Jharkhand,Koderma,2019,1224.7
Jharkhand,Koderma,2023,1087.2
Jharkhand,Latehar,2019,1355.8
Jharkhand,Latehar,2020,1275.2
Jharkhand,Latehar,2023,1156.8
Jharkhand,Lohardaga,2019,1255.8
Jharkhand,Lohardaga,2020,1317.4
Jharkhand,Lohardaga,2021,1153.1
Jharkhand,Lohardaga,2022,1082.6
Jharkhand,Loherdaga,2023,1173.4
Jharkhand,Pakur,2019,1808.5
Jharkhand,Pakur,2022,1491.4
Jharkhand,Pakur,2023,1549.7
Jharkhand,Palamu,2019,1153.1
Jharkhand,Palamu,2023,1011.1
Jharkhand,Ramgarh,2019,1378.6
Jharkhand,Ramgarh,2020,1400.2
Jharkhand,Ramgarh,2021,1213.4
Jharkhand,Ramgarh,2022,1188.2
Jharkhand,Ramgarh,2023,1218.7
Jharkhand,Ranchi,2019,1561.4
Jharkhand,Ranchi,2020,1488.6
Jharkhand,Ranchi,2021,1323.1
Jharkhand,Ranchi,2022,1367.8
Jharkhand,Ranchi,2023,1255.9
Jharkhand,Sahebganj,2023,1271.1
Jharkhand,Sahibganj,2019,1714.0
Jharkhand,Sahibganj,2022,1524.6
Jharkhand,Saraikela,2019,1476.6
Jharkhand,Saraikela,2022,1286.2
Jharkhand,Saraikela,2023,1206.9
Jharkhand,Simdega,2019,1776.6
Jharkhand,Simdega,2020,1697.9
Jharkhand,Simdega,2022,1475.7
Jharkhand,Simdega,2023,1497.6
Jharkhand,W Singhbhum,2019,1487.4
Jharkhand,W Singhbhum,2022,1284.5
Jharkhand,W Singhbhum,2023,1258.1
Karnataka,BAGALKOT,2022,1113.7
Karnataka,BANGALORE RURAL,2022,1114.1
Karnataka,BANGALORE URBAN,2022,1149.6
Karnataka,BELGAUM,2022,1093.6
Karnataka,BELLARY,2022,562.6
Karnataka,BIDAR,2022,825.1
Karnataka,BIJAPUR,2022,603.9
Karnataka,Bagalkot,2019,1287.3
Karnataka,Bagalkot,2023,1093.0
Karnataka,Bangalore Rural,2019,1253.9
Karnataka,Bangalore Rural,2020,1239.4
Karnataka,Bangalore Urban,2019,1378.2
Karnataka,Bangalore Urban,2020,1292.7
Karnataka,Belgaum,2019,1298.9
Karnataka,Belgaum,2020,1325.5
Karnataka,Belgaum,2023,1091.3
Karnataka,Bellary,2019,715.9
Karnataka,Bellary,2023,602.2
Karnataka,Bengaluru Rural,2023,1076.8
Karnataka,Bengaluru Urban,2023,1113.7
Karnataka,Bidar,2019,1016.9
Karnataka,Bidar,2023,874.5
Karnataka,Bijapur,2019,719.7
Karnataka,Bijapur,2023,624.0
Karnataka,CHAMARAJANAGAR,2022,1085.5
Karnataka,CHICKBALLAPUR,2022,738.1
Karnataka,CHICKMAGALUR,2022,1092.8
Karnataka,CHIKBALLAPURA,2019,1372.3
Karnataka,CHITRADURGA,2022,503.5
Karnataka,Chamarajanagar,2019,1328.2
Karnataka,Chamarajanagara,2023,1124.4
Karnataka,Chikballapur,2023,1092.7
Karnataka,Chikkamagalur,2019,1271.6
Karnataka,Chikkamagaluru,2023,1091.6
Karnataka,Chitradurga,2019,562.3
Karnataka,Chitradurga,2023,509.9
Karnataka,DAKSHIN KANNADA,2022,1106.1
Karnataka,DAVANAAGERE,2022,1073.3
Karnataka,DHARWAD,2022,779.1
Karnataka,Dakshin Kannada,2019,1364.5
Karnataka,Davanagere,2019,1370.3
Karnataka,Davanagere,2023,1178.5
Karnataka,Dharwad,2019,842.5
Karnataka,Dharwad,2023,736.5
Karnataka,GADAG,2022,618.3
Karnataka,GULBARGA,2022,786.5
Karnataka,Gadag,2019,680.9
Karnataka,Gadag,2023,621.8
Karnataka,Gulbarga,2019,877.8
Karnataka,Gulbarga,2023,750.1
Karnataka,HASSAN,2022,912.4
Karnataka,HAVERI,2022,751.3
Karnataka,Hassan,2019,1072.3
Karnataka,Hassan,2023,871.9
Karnataka,Haveri,2019,904.0
Karnataka,Haveri,2023,726.9
Karnataka,KODAGU,2022,2481.4
Karnataka,KOPPAL,2022,584.3
Karnataka,Kodagu,2019,3152.9
Karnataka,Kodagu,2023,2670.2
Karnataka,Kolar,2019,829.1
Karnataka,Kolar,2020,809.3
Karnataka,Kolar,2022,690.7
Karnataka,Kolar,2023,658.9
Karnataka,Koppal,2019,652.1
Karnataka,Koppal,2023,555.2
Karnataka,MANDYA,2022,608.0
Karnataka,MYSORE,2022,729.0
Karnataka,Mandya,2019,728.7
Karnataka,Mandya,2020,692.1
Karnataka,Mandya,2023,605.5
Karnataka,Mysore,2019,849.8
Karnataka,Mysore,2023,682.9
Karnataka,RAICHUR,2022,647.2
Karnataka,RAMANAGARA,2019,1313.4
Karnataka,Raichur,2019,730.2
Karnataka,Raichur,2023,631.0
Karnataka,Ramanagar,2020,1344.4
Karnataka,Ramanagara,2023,1105.8
Karnataka,SHIMOGA,2022,1748.8
Karnataka,Shimoga,2019,2023.9
Karnataka,Shivmoga,2023,1096.8
Karnataka,TUMKUR,2022,681.5
Karnataka,Tumkur,2019,791.2
Karnataka,Tumkur,2023,667.0
Karnataka,UDIPI,2022,1162.3
Karnataka,UTTAR KANNADA,2022,2992.3
Karnataka,Udupi,2019,4835.3
Karnataka,Udupi,2023,4184.1
Karnataka,Uttara Kannada,2019,1340.0
Karnataka,Uttara Kannada,2023,1143.2
Karnataka,Vijayanagara,2023,1136.3
Karnataka,Yadgir,2019,941.1
Karnataka,Yadgir,2022,757.6
Karnataka,Yadgir,2023,814.3
Kerala,Alappuzha,2022,2770.0
Kerala,Alappuzha,2023,2545.0
Kerala,Alapuzha,2019,3336.4
Kerala,Allapuzha,2021,2800.1
Kerala,Ernakkulam,2021,2860.1
Kerala,Ernakulam,2019,3414.0
Kerala,Ernakulam,2022,2751.5
Kerala,Ernakulam,2023,2938.7
Kerala,Idukki,2019,3753.4
Kerala,Idukki,2021,3271.9
Kerala,Idukki,2022,2951.1
Kerala,Idukki,2023,3038.2
Kerala,Kannur,2019,3268.9
Kerala,Kannur,2021,3047.9
Kerala,Kannur,2022,2797.5
Kerala,Kannur,2023,2694.8
Kerala,Kasarakode,2019,3274.4
Kerala,Kasargod,2021,3599.7
Kerala,Kasargod,2022,3499.6
Kerala,Kasargod,2023,3270.5
Kerala,Kollam,2019,2812.4
Kerala,Kollam,2021,2477.0
Kerala,Kollam,2022,2450.6
Kerala,Kollam,2023,2305.2
Kerala,Kottayam,2019,3266.3
Kerala,Kottayam,2021,3026.5
Kerala,Kottayam,2022,2645.2
Kerala,Kottayam,2023,2875.1
Kerala,Kozhikode,2019,3792.5
Kerala,Kozhikode,2021,3205.5
Kerala,Kozhikode,2022,3117.7
Kerala,Kozhikode,2023,3247.3
Kerala,Malappuram,2019,2983.7
Kerala,Malappuram,2021,2829.8
Kerala,Malappuram,2022,2623.9
Kerala,Malappuram,2023,2697.2
Kerala,Palakad,2019,3084.4
Kerala,Palakkad,2021,2351.3
Kerala,Palakkad,2022,2254.5
Kerala,Palakkad,2023,2253.5
Kerala,Pathanamthita,2022,2830.1
Kerala,Pathanamthita,2023,2659.0
Kerala,Pathanamthitta,2019,3338.3
Kerala,Pathanamthitta,2021,2789.6
Kerala,Thrissur,2019,3208.4
Kerala,Thrissur,2022,2828.5
Kerala,Thrissur,2023,2876.0
Kerala,Trissur,2021,2986.7
Kerala,Trivandrum,2019,3290.4
Kerala,Trivandrum,2021,2892.3
Kerala,Trivandrum,2022,2698.6
Kerala,Trivandrum,2023,2898.4
Kerala,Wayanad,2019,3552.0
Kerala,Wayanad,2021,3204.9
Kerala,Wayanad,2022,2955.1
Kerala,Wayanad,2023,3148.1
Madhya Pradesh,AGAR MALWA,2022,989.2
Madhya Pradesh,ALIRAJPUR,2022,943.3
Madhya Pradesh,ANUPPUR,2022,929.8
Madhya Pradesh,ASHOK NAGAR,2022,987.9
Madhya Pradesh,Agar Malwa,2019,1153.1
Madhya Pradesh,Agar Malwa,2020,1099.7
Madhya Pradesh,Agar Malwa,2021,1068.1
Madhya Pradesh,Agar Malwa,2023,936.5
Madhya Pradesh,Alirajpur,2019,1127.9
Madhya Pradesh,Alirajpur,2020,1175.1
Madhya Pradesh,Alirajpur,2021,1013.8
Madhya Pradesh,Alirajpur,2023,983.8
Madhya Pradesh,Anuppur,2019,1123.9
Madhya Pradesh,Anuppur,2020,1099.8
Madhya Pradesh,Anuppur,2021,1071.4
Madhya Pradesh,Anuppur,2023,961.6
Madhya Pradesh,Ashok Nagar,2019,1180.3
Madhya Pradesh,Ashok Nagar,2020,1094.8
Madhya Pradesh,Ashok Nagar,2021,992.7
Madhya Pradesh,Ashok Nagar,2023,924.9
Madhya Pradesh,BALAGHAT,2022,1413.8
Madhya Pradesh,BARWANI,2022,650.5
Madhya Pradesh,BETUL,2022,1002.3
Madhya Pradesh,BHIND,2022,715.7
Madhya Pradesh,BHOPAL,2022,1070.3
Madhya Pradesh,BURHANPUR,2022,809.5
Madhya Pradesh,Balaghat,2019,1689.8
Madhya Pradesh,Balaghat,2020,1659.6
Madhya Pradesh,Balaghat,2021,1506.5
Madhya Pradesh,Balaghat,2023,1440.7
Madhya Pradesh,Barwani,2019,791.5
Madhya Pradesh,Barwani,2020,774.0
Madhya Pradesh,Barwani,2021,668.6
Madhya Pradesh,Barwani,2023,628.3
Madhya Pradesh,Betul,2019,1179.3
Madhya Pradesh,Betul,2020,1134.5
Madhya Pradesh,Betul,2021,1048.7
Madhya Pradesh,Betul,2023,965.3
Madhya Pradesh,Bhind,2019,807.6
Madhya Pradesh,Bhind,2020,800.9
Madhya Pradesh,Bhind,2021,769.8
Madhya Pradesh,Bhind,2023,712.6
Madhya Pradesh,Bhopal,2019,1160.6
Madhya Pradesh,Bhopal,2020,1184.6
Madhya Pradesh,Bhopal,2021,1029.9
Madhya Pradesh,Bhopal,2023,1030.8
Madhya Pradesh,Burhanpur,2019,955.4
Madhya Pradesh,Burhanpur,2020,998.0
Madhya Pradesh,Burhanpur,2021,863.5
Madhya Pradesh,Burhanpur,2023,832.0
Madhya Pradesh,CHHATARPUR,2022,966.9
Madhya Pradesh,CHHINDWARA,2022,919.2
Madhya Pradesh,Chhatarpur,2019,1176.8
Madhya Pradesh,Chhatarpur,2020,1176.4
Madhya Pradesh,Chhatarpur,2021,1081.3
Madhya Pradesh,Chhatarpur,2023,995.3
Madhya Pradesh,Chhindwara,2019,1145.7
Madhya Pradesh,Chhindwara,2020,1153.6
Madhya Pradesh,Chhindwara,2021,1039.7
Madhya Pradesh,Chhindwara,2023,916.1
Madhya Pradesh,DAMOH,2022,1107.6
Madhya Pradesh,DATIA,2022,776.6
Madhya Pradesh,DEWAS,2022,944.5
Madhya Pradesh,DHAR,2022,873.5
Madhya Pradesh,DINDORI,2022,1211.6
Madhya Pradesh,Damoh,2019,1298.5
Madhya Pradesh,Damoh,2020,1302.1
Madhya Pradesh,Damoh,2021,1192.5
Madhya Pradesh,Damoh,2023,1116.4
Madhya Pradesh,Datia,2019,899.8
Madhya Pradesh,Datia,2020,921.3
Madhya Pradesh,Datia,2021,853.1
Madhya Pradesh,Datia,2023,775.3
Madhya Pradesh,Dewas,2019,1117.6
Madhya Pradesh,Dewas,2020,1071.7
Madhya Pradesh,Dewas,2021,978.1
Madhya Pradesh,Dewas,2023,959.5
Madhya Pradesh,Dhar,2019,938.9
Madhya Pradesh,Dhar,2020,972.4
Madhya Pradesh,Dhar,2021,893.9
Madhya Pradesh,Dhar,2023,858.0
Madhya Pradesh,Dindori,2019,1426.3
Madhya Pradesh,Dindori,2020,1408.6
Madhya Pradesh,Dindori,2021,1271.0
Madhya Pradesh,Dindori,2023,1273.6
Madhya Pradesh,GUNA,2022,986.6
Madhya Pradesh,GWALIOR,2022,793.7
Madhya Pradesh,Guna,2019,1180.5
Madhya Pradesh,Guna,2020,1070.6
Madhya Pradesh,Guna,2021,1022.2
Madhya Pradesh,Guna,2023,986.8
Madhya Pradesh,Gwalior,2019,1010.6
Madhya Pradesh,Gwalior,2020,986.3
Madhya Pradesh,Gwalior,2021,903.5
Madhya Pradesh,Gwalior,2023,819.4
Madhya Pradesh,HARDA,2022,1094.0
Madhya Pradesh,HOSHANGABAD,2022,1253.7
Madhya Pradesh,Harda,2019,1290.1
Madhya Pradesh,Harda,2020,1235.7
Madhya Pradesh,Harda,2021,1152.5
Madhya Pradesh,Harda,2023,1055.5
Madhya Pradesh,Hoshangabad,2019,1553.4
Madhya Pradesh,Hoshangabad,2020,1521.5
Madhya Pradesh,Hoshangabad,2021,1410.2
Madhya Pradesh,Hoshangabad,2023,1253.9
Madhya Pradesh,INDORE,2022,824.4
Madhya Pradesh,Indore,2019,983.5
Madhya Pradesh,Indore,2020,965.8
Madhya Pradesh,Indore,2021,941.9
Madhya Pradesh,Indore,2023,838.1
